Start Time: 12/08/16 22:35:57
sensor,value
Acceleration_x,0.1942138671875
Acceleration_y,0.4393310546875
Acceleration_z,0.783447265625
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1929931640625
Acceleration_y,0.4385986328125
Acceleration_z,0.7808837890625
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1929931640625
Acceleration_y,0.4385986328125
Acceleration_z,0.7808837890625
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1912841796875
Acceleration_y,0.438720703125
Acceleration_z,0.7789306640625
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1912841796875
Acceleration_y,0.438720703125
Acceleration_z,0.7789306640625
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.189208984375
Acceleration_y,0.439208984375
Acceleration_z,0.7802734375
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.189208984375
Acceleration_y,0.439208984375
Acceleration_z,0.7802734375
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.18798828125
Acceleration_y,0.4410400390625
Acceleration_z,0.780517578125
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.18798828125
Acceleration_y,0.4410400390625
Acceleration_z,0.780517578125
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.18603515625
Acceleration_y,0.44091796875
Acceleration_z,0.7847900390625
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.18603515625
Acceleration_y,0.44091796875
Acceleration_z,0.7847900390625
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1837158203125
Acceleration_y,0.439453125
Acceleration_z,0.784912109375
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1837158203125
Acceleration_y,0.439453125
Acceleration_z,0.784912109375
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1827392578125
Acceleration_y,0.439208984375
Acceleration_z,0.7847900390625
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1827392578125
Acceleration_y,0.439208984375
Acceleration_z,0.7847900390625
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1815185546875
Acceleration_y,0.4393310546875
Acceleration_z,0.783935546875
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1815185546875
Acceleration_y,0.4393310546875
Acceleration_z,0.783935546875
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.179931640625
Acceleration_y,0.440673828125
Acceleration_z,0.78466796875
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.179931640625
Acceleration_y,0.440673828125
Acceleration_z,0.78466796875
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.18017578125
Acceleration_y,0.4407958984375
Acceleration_z,0.787841796875
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.18017578125
Acceleration_y,0.4407958984375
Acceleration_z,0.787841796875
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.180908203125
Acceleration_y,0.43994140625
Acceleration_z,0.7904052734375
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.180908203125
Acceleration_y,0.43994140625
Acceleration_z,0.7904052734375
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1807861328125
Acceleration_y,0.4378662109375
Acceleration_z,0.791259765625
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1807861328125
Acceleration_y,0.4378662109375
Acceleration_z,0.791259765625
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1805419921875
Acceleration_y,0.4356689453125
Acceleration_z,0.7930908203125
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1805419921875
Acceleration_y,0.4356689453125
Acceleration_z,0.7930908203125
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.181640625
Acceleration_y,0.4345703125
Acceleration_z,0.79345703125
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.181640625
Acceleration_y,0.4345703125
Acceleration_z,0.79345703125
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.181640625
Acceleration_y,0.4345703125
Acceleration_z,0.79345703125
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1834716796875
Acceleration_y,0.4345703125
Acceleration_z,0.795654296875
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1834716796875
Acceleration_y,0.4345703125
Acceleration_z,0.795654296875
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1839599609375
Acceleration_y,0.4342041015625
Acceleration_z,0.7960205078125
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1839599609375
Acceleration_y,0.4342041015625
Acceleration_z,0.7960205078125
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.18505859375
Acceleration_y,0.433837890625
Acceleration_z,0.7974853515625
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.18505859375
Acceleration_y,0.433837890625
Acceleration_z,0.7974853515625
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.18505859375
Acceleration_y,0.4322509765625
Acceleration_z,0.7982177734375
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.18505859375
Acceleration_y,0.4322509765625
Acceleration_z,0.7982177734375
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1845703125
Acceleration_y,0.431884765625
Acceleration_z,0.79638671875
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1845703125
Acceleration_y,0.431884765625
Acceleration_z,0.79638671875
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.183837890625
Acceleration_y,0.4320068359375
Acceleration_z,0.794677734375
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.183837890625
Acceleration_y,0.4320068359375
Acceleration_z,0.794677734375
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1842041015625
Acceleration_y,0.432861328125
Acceleration_z,0.790771484375
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
Acceleration_x,0.1842041015625
Acceleration_y,0.432861328125
Acceleration_z,0.790771484375
Gyro_x,0.0
Gyro_y,0.0
Gyro_z,0.0
