Start Time: 12/08/16 19:32:12
sensor,value
Acceleration_x,-0.485107421875
Acceleration_y,0.578369140625
Acceleration_z,0.769775390625
Gyro_x,389.0
Gyro_y,-337.0
Gyro_z,17.0
Acceleration_x,-0.54833984375
Acceleration_y,0.521240234375
Acceleration_z,0.791748046875
Gyro_x,374.0
Gyro_y,-349.0
Gyro_z,-23.0
Acceleration_x,-0.51123046875
Acceleration_y,0.3759765625
Acceleration_z,0.763671875
Gyro_x,298.0
Gyro_y,-322.0
Gyro_z,-83.0
Acceleration_x,-0.464599609375
Acceleration_y,0.283447265625
Acceleration_z,0.7802734375
Gyro_x,270.0
Gyro_y,-316.0
Gyro_z,-107.0
Acceleration_x,-0.408935546875
Acceleration_y,0.2529296875
Acceleration_z,0.79541015625
Gyro_x,254.0
Gyro_y,-315.0
Gyro_z,-124.0
Acceleration_x,-0.429931640625
Acceleration_y,0.24755859375
Acceleration_z,0.825927734375
Gyro_x,244.0
Gyro_y,-319.0
Gyro_z,-124.0
Acceleration_x,-0.409912109375
Acceleration_y,0.269775390625
Acceleration_z,0.829345703125
Gyro_x,245.0
Gyro_y,-329.0
Gyro_z,-87.0
Acceleration_x,-0.32373046875
Acceleration_y,0.2841796875
Acceleration_z,0.785400390625
Gyro_x,250.0
Gyro_y,-323.0
Gyro_z,-53.0
Acceleration_x,-0.259033203125
Acceleration_y,0.27978515625
Acceleration_z,0.770751953125
Gyro_x,245.0
Gyro_y,-317.0
Gyro_z,-42.0
Acceleration_x,-0.244873046875
Acceleration_y,0.286376953125
Acceleration_z,0.780517578125
Gyro_x,234.0
Gyro_y,-327.0
Gyro_z,-32.0
Acceleration_x,-0.2109375
Acceleration_y,0.30517578125
Acceleration_z,0.7509765625
Gyro_x,229.0
Gyro_y,-333.0
Gyro_z,-16.0
Acceleration_x,-0.18798828125
Acceleration_y,0.254638671875
Acceleration_z,0.686279296875
Gyro_x,223.0
Gyro_y,-330.0
Gyro_z,-15.0
Acceleration_x,-0.193603515625
Acceleration_y,0.23974609375
Acceleration_z,0.699951171875
Gyro_x,211.0
Gyro_y,-328.0
Gyro_z,-24.0
Acceleration_x,-0.21875
Acceleration_y,0.232177734375
Acceleration_z,0.694580078125
Gyro_x,191.0
Gyro_y,-325.0
Gyro_z,-35.0
Acceleration_x,-0.287841796875
Acceleration_y,0.228515625
Acceleration_z,0.70361328125
Gyro_x,177.0
Gyro_y,-321.0
Gyro_z,-33.0
Acceleration_x,-0.2861328125
Acceleration_y,0.24072265625
Acceleration_z,0.67822265625
Gyro_x,168.0
Gyro_y,-304.0
Gyro_z,-30.0
Acceleration_x,-0.276123046875
Acceleration_y,0.282958984375
Acceleration_z,0.709716796875
Gyro_x,153.0
Gyro_y,-285.0
Gyro_z,-37.0
Acceleration_x,-0.27978515625
Acceleration_y,0.332275390625
Acceleration_z,0.75
Gyro_x,131.0
Gyro_y,-270.0
Gyro_z,-50.0
Acceleration_x,-0.2978515625
Acceleration_y,0.40771484375
Acceleration_z,0.760009765625
Gyro_x,110.0
Gyro_y,-260.0
Gyro_z,-52.0
